"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"60","RL",65,8450,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,0,"Gable","VinylSd","VinylSd","BrkFace",196,3,3,"PConc",4,1,6,"706","150","856",5,"Y","SBrkr",856,854,1710,"1","0",2,1,3,4,8,0,0,"Attchd",2003,1,"2","548","3","3","Y",0,1,"2","2008","WD","Normal",208500
"20","RL",80,9600,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,0,"Gable","MetalSd","MetalSd","None",0,2,3,"CBlock",4,4,5,"978","284","1262",5,"Y","SBrkr",1262,0,1262,"0","1",2,0,3,3,6,1,3,"Attchd",1976,1,"2","460","3","3","Y",298,1,"5","2007","WD","Normal",181500
"60","RL",68,11250,"IReg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,1,"Gable","VinylSd","VinylSd","BrkFace",162,3,3,"PConc",4,2,6,"486","434","920",5,"Y","SBrkr",920,866,1786,"1","0",2,1,3,4,6,1,3,"Attchd",2001,1,"2","608","3","3","Y",0,1,"9","2008","WD","Normal",223500
"70","RL",60,9550,"IReg","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1,"Gable","Wd Sdng","Wd Shng","None",0,2,3,"BrkTil",3,1,5,"216","540","756",4,"Y","SBrkr",961,756,1717,"1","0",1,0,3,4,7,1,4,"Detchd",1998,1,"3","642","3","3","Y",0,1,"2","2006","WD","Abnorml",140000
"60","RL",84,14260,"IReg","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,0,"Gable","VinylSd","VinylSd","BrkFace",350,3,3,"PConc",4,3,6,"655","490","1145",5,"Y","SBrkr",1145,1053,2198,"1","0",2,1,4,4,9,1,3,"Attchd",2000,1,"3","836","3","3","Y",192,1,"12","2008","WD","Normal",250000
"50","RL",85,14115,"IReg","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1,"Gable","VinylSd","VinylSd","None",0,2,3,"Wood",4,1,6,"732","64","796",5,"Y","SBrkr",796,566,1362,"1","0",1,1,1,3,5,0,0,"Attchd",1993,1,"2","480","3","3","Y",40,2,"10","2009","WD","Normal",143000
"20","RL",75,10084,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,1,"Gable","VinylSd","VinylSd","Stone",186,3,3,"PConc",5,3,6,"1369","317","1686",5,"Y","SBrkr",1694,0,1694,"1","0",2,0,3,4,7,1,4,"Attchd",2004,1,"2","636","3","3","Y",255,1,"8","2007","WD","Normal",307000
"60","RL",69.3057953144266,10382,"IReg","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,0,"Gable","HdBoard","HdBoard","Stone",240,2,3,"CBlock",4,2,5,"859","216","1107",5,"Y","SBrkr",1107,983,2090,"1","0",2,1,3,3,7,2,3,"Attchd",1973,1,"2","484","3","3","Y",235,1,"11","2009","WD","Normal",200000
"50","RM",51,6120,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1,"Gable","BrkFace","Wd Shng","None",0,2,3,"BrkTil",3,1,1,"0","952","952",4,"Y","Other",1022,752,1774,"0","0",2,0,2,3,8,2,3,"Detchd",1931,1,"2","468","2","3","Y",90,1,"4","2008","WD","Abnorml",129900
"190","RL",50,7420,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1,"Gable","MetalSd","MetalSd","None",0,2,3,"BrkTil",3,1,6,"851","140","991",5,"Y","SBrkr",1077,0,1077,"1","0",1,0,2,3,5,2,3,"Attchd",1939,1,"1","205","4","3","Y",0,1,"1","2008","WD","Normal",118000
